03450000|03400000|1|Tree-nursery products
03451000|03450000|1|Plants
03451100|03451000|0|Bedding plants
03451200|03451000|0|Flower bulbs
03451300|03451000|0|Shrubs
03452000|03450000|0|Trees
03460000|03400000|1|Pulp
03461000|03460000|1|Wood pulp
03461100|03461000|0|Chemical wood pulp
09000000||1|Petroleum products, fuel, electricity and other sources of energy
09100000|09000000|1|Fuels
09110000|09100000|1|Solid fuels
09111000|09110000|1|Coal and coal-based fuels
09111100|09111000|0|Coal
09111200|09111000|0|Coal-based fuels
09111210|09111000|0|Hard coal
09111220|09111000|0|Briquettes
09111300|09111000|0|Fossil fuels
09111400|09111000|0|Wood fuels
09112000|09110000|1|Lignite and peat
09112100|09112000|0|Lignite
09112200|09112000|0|Peat
09113000|09110000|0|Coke
09120000|09100000|1|Gaseous fuels
09121000|09120000|1|Coal gas, mains gas or similar gases
09121100|09121000|0|Coal gas or similar gases
09121200|09121000|0|Mains gas
09122000|09120000|1|Propane and butane
09122100|09122000|0|Propane gas
09122110|09122000|0|Liquefied propane gas
09122200|09122000|0|Butane gas
09122210|09122000|0|Liquefied butane gas
09123000|09120000|0|Natural gas
09130000|09100000|1|Petroleum and distillates
09131000|09130000|1|Aviation kerosene
09131100|09131000|0|Kerosene jet type fuels
09132000|09130000|1|Petrol
09132100|09132000|0|Unleaded petrol
09132200|09132000|0|Leaded petrol
09132300|09132000|0|Petrol with ethanol
09133000|09130000|0|Liquefied Petroleum Gas (LPG)
09134000|09130000|1|Gas oils
09134100|09134000|0|Diesel oil
09134200|09134000|0|Diesel fuel
09134210|09134000|0|Diesel fuel (0,2)
09134220|09134000|0|Diesel fuel (EN 590)
09134230|09134000|0|Biodiesel
09134231|09134000|0|Biodiesel (B20)
09134232|09134000|0|Biodiesel (B100)
09135000|09130000|1|Fuel oils
09135100|09135000|0|Heating oil
09135110|09135000|0|Low-sulphur combustible oils
09200000|09000000|1|Petroleum, coal and oil products
09210000|09200000|1|Lubricating preparations
09211000|09210000|1|Lubricating oils and lubricating agents
09211100|09211000|0|Motor oils
09211200|09211000|0|Compressor lube oils
09211300|09211000|0|Turbine lube oils
09211400|09211000|0|Gear oils
09211500|09211000|0|Reductor oils
09211600|09211000|0|Oils for use in hydraulic systems and other purposes
09211610|09211000|0|Liquids for hydraulic purposes
09211620|09211000|0|Mould release oils
09211630|09211000|0|Anti-corrosion oils
09211640|09211000|0|Electrical insulating oils
09211650|09211000|0|Brake fluids
09211700|09211000|0|White oils and liquid paraffin
09211710|09211000|0|White oils
09211720|09211000|0|Liquid paraffin
09211800|09211000|0|Petroleum oils and preparations
09211810|09211000|0|Light oils
09211820|09211000|0|Petroleum oils
09211900|09211000|0|Lubricating traction oils
09220000|09200000|1|Petroleum jelly, waxes and special spirits
